"","ROI","contrast","subject","PS"
"104","HIPP_MERGE_BL","sstart dend diff context no sub","sub05",0.077326
"105","HIPP_MERGE_BL","dstart dend same context no sub","sub05",0.080123
"106","HIPP_MERGE_BL","dstart dend diff context no sub","sub05",0.069639
"107","HIPP_MERGE_BL","same mov scon no sub","sub05",0.081122
"108","HIPP_MERGE_BL","same mov dcon no sub","sub05",0.035467
"109","HIPP_MERGE_BL","share mov scon no sub","sub05",0.11828
"110","HIPP_MERGE_BL","share mov dcon no sub","sub05",0.063416
"111","HIPP_MERGE_BL","no share mov scon no sub","sub05",0.073422
"112","HIPP_MERGE_BL","no share mov dcon no sub","sub05",0.082329
"113","V12_BL","sseq scon no sub","sub05",0.41605
"114","V12_BL","sseq dcon no sub","sub05",0.40259
"115","V12_BL","dseq scon no sub","sub05",0.35934
"116","V12_BL","dseq dcon no sub","sub05",0.3621
"117","V12_BL","dstart send same context no sub","sub05",0.33403
"118","V12_BL","dstart send diff context no sub","sub05",0.379
"119","V12_BL","sstart dend same context no sub","sub05",0.36628
"120","V12_BL","sstart dend diff context no sub","sub05",0.37187
"121","V12_BL","dstart dend same context no sub","sub05",0.36449
"122","V12_BL","dstart dend diff context no sub","sub05",0.35457
"123","V12_BL","same mov scon no sub","sub05",0.41605
"124","V12_BL","same mov dcon no sub","sub05",0.35042
"125","V12_BL","share mov scon no sub","sub05",0.36364
"126","V12_BL","share mov dcon no sub","sub05",0.33353
"127","V12_BL","no share mov scon no sub","sub05",0.35907
"128","V12_BL","no share mov dcon no sub","sub05",0.36832
"129","BA4ap","sseq scon no sub","sub05",0.17005
"130","BA4ap","sseq dcon no sub","sub05",0.067877
"131","BA4ap","dseq scon no sub","sub05",0.11954
"132","BA4ap","dseq dcon no sub","sub05",0.12613
"133","BA4ap","dstart send same context no sub","sub05",0.12247
"134","BA4ap","dstart send diff context no sub","sub05",0.1401
"135","BA4ap","sstart dend same context no sub","sub05",0.16313
"136","BA4ap","sstart dend diff context no sub","sub05",0.10091
"137","BA4ap","dstart dend same context no sub","sub05",0.10605
"138","BA4ap","dstart dend diff context no sub","sub05",0.12963
