"","ROI","contrast","subject","PS"
"452","V12_BL","dseq dcon no sub","sub15",0.35322
"453","V12_BL","dstart send same context no sub","sub15",0.34299
"454","V12_BL","dstart send diff context no sub","sub15",0.35009
"455","V12_BL","sstart dend same context no sub","sub15",0.37963
"456","V12_BL","sstart dend diff context no sub","sub15",0.37436
"457","V12_BL","dstart dend same context no sub","sub15",0.35169
"458","V12_BL","dstart dend diff context no sub","sub15",0.3485
"459","V12_BL","same mov scon no sub","sub15",0.38982
"460","V12_BL","same mov dcon no sub","sub15",0.41297
"461","V12_BL","share mov scon no sub","sub15",0.31878
"462","V12_BL","share mov dcon no sub","sub15",0.30683
"463","V12_BL","no share mov scon no sub","sub15",0.35749
"464","V12_BL","no share mov dcon no sub","sub15",0.3514
"465","BA4ap","sseq scon no sub","sub15",0.12706
"466","BA4ap","sseq dcon no sub","sub15",0.062127
"467","BA4ap","dseq scon no sub","sub15",0.095478
"468","BA4ap","dseq dcon no sub","sub15",0.081221
"469","BA4ap","dstart send same context no sub","sub15",0.080776
"470","BA4ap","dstart send diff context no sub","sub15",0.08816
"471","BA4ap","sstart dend same context no sub","sub15",0.11179
"472","BA4ap","sstart dend diff context no sub","sub15",0.092207
"473","BA4ap","dstart dend same context no sub","sub15",0.095164
"474","BA4ap","dstart dend diff context no sub","sub15",0.076251
"475","BA4ap","same mov scon no sub","sub15",0.12706
"476","BA4ap","same mov dcon no sub","sub15",0.079144
"477","BA4ap","share mov scon no sub","sub15",0.086975
"478","BA4ap","share mov dcon no sub","sub15",0.060433
"479","BA4ap","no share mov scon no sub","sub15",0.096042
"480","BA4ap","no share mov dcon no sub","sub15",0.080989
"481","HIPP_MERGE_BL","sseq scon no sub","sub16",0.065903
"482","HIPP_MERGE_BL","sseq dcon no sub","sub16",0.017697
"483","HIPP_MERGE_BL","dseq scon no sub","sub16",0.031888
"484","HIPP_MERGE_BL","dseq dcon no sub","sub16",0.036654
"485","HIPP_MERGE_BL","dstart send same context no sub","sub16",0.028945
"486","HIPP_MERGE_BL","dstart send diff context no sub","sub16",0.022995
"487","HIPP_MERGE_BL","sstart dend same context no sub","sub16",0.032486
"488","HIPP_MERGE_BL","sstart dend diff context no sub","sub16",0.050107
"489","HIPP_MERGE_BL","dstart dend same context no sub","sub16",0.032569
"490","HIPP_MERGE_BL","dstart dend diff context no sub","sub16",0.036752
"491","HIPP_MERGE_BL","same mov scon no sub","sub16",0.065903
"492","HIPP_MERGE_BL","same mov dcon no sub","sub16",0.06272
"493","HIPP_MERGE_BL","share mov scon no sub","sub16",-0.0027645
"494","HIPP_MERGE_BL","share mov dcon no sub","sub16",0.037771
"495","HIPP_MERGE_BL","no share mov scon no sub","sub16",0.034114
"496","HIPP_MERGE_BL","no share mov dcon no sub","sub16",0.032172
"497","V12_BL","sseq scon no sub","sub16",0.32928
"498","V12_BL","sseq dcon no sub","sub16",0.32078
"499","V12_BL","dseq scon no sub","sub16",0.29188
"500","V12_BL","dseq dcon no sub","sub16",0.27623
"501","V12_BL","dstart send same context no sub","sub16",0.32425
"502","V12_BL","dstart send diff context no sub","sub16",0.30314
"503","V12_BL","sstart dend same context no sub","sub16",0.29031
"504","V12_BL","sstart dend diff context no sub","sub16",0.26314
"505","V12_BL","dstart dend same context no sub","sub16",0.28306
"506","V12_BL","dstart dend diff context no sub","sub16",0.27234
"507","V12_BL","same mov scon no sub","sub16",0.32928
"508","V12_BL","same mov dcon no sub","sub16",0.27739
"509","V12_BL","share mov scon no sub","sub16",0.26841
"510","V12_BL","share mov dcon no sub","sub16",0.32454
"511","V12_BL","no share mov scon no sub","sub16",0.29339
"512","V12_BL","no share mov dcon no sub","sub16",0.27729
"513","BA4ap","sseq scon no sub","sub16",0.090096
"514","BA4ap","sseq dcon no sub","sub16",0.048183
"515","BA4ap","dseq scon no sub","sub16",0.079838
"516","BA4ap","dseq dcon no sub","sub16",0.070463
"517","BA4ap","dstart send same context no sub","sub16",0.077964
"518","BA4ap","dstart send diff context no sub","sub16",0.087215
"519","BA4ap","sstart dend same context no sub","sub16",0.10547
"520","BA4ap","sstart dend diff context no sub","sub16",0.06434
"521","BA4ap","dstart dend same context no sub","sub16",0.073045
"522","BA4ap","dstart dend diff context no sub","sub16",0.067439
"523","BA4ap","same mov scon no sub","sub16",0.090096
"524","BA4ap","same mov dcon no sub","sub16",0.11319
"525","BA4ap","share mov scon no sub","sub16",0.06087
"526","BA4ap","share mov dcon no sub","sub16",0.05058
"527","BA4ap","no share mov scon no sub","sub16",0.081057
"528","BA4ap","no share mov dcon no sub","sub16",0.065293
"529","HIPP_MERGE_BL","sseq scon no sub","sub17",0.11935
"530","HIPP_MERGE_BL","sseq dcon no sub","sub17",0.10481
"531","HIPP_MERGE_BL","dseq scon no sub","sub17",0.093269
"532","HIPP_MERGE_BL","dseq dcon no sub","sub17",0.09375
"533","HIPP_MERGE_BL","dstart send same context no sub","sub17",0.1179
"534","HIPP_MERGE_BL","dstart send diff context no sub","sub17",0.080691
"535","HIPP_MERGE_BL","sstart dend same context no sub","sub17",0.093724
"536","HIPP_MERGE_BL","sstart dend diff context no sub","sub17",0.097126
"537","HIPP_MERGE_BL","dstart dend same context no sub","sub17",0.085873
"538","HIPP_MERGE_BL","dstart dend diff context no sub","sub17",0.096541
"539","HIPP_MERGE_BL","same mov scon no sub","sub17",0.11935
"540","HIPP_MERGE_BL","same mov dcon no sub","sub17",0.10881
"541","HIPP_MERGE_BL","share mov scon no sub","sub17",0.1065
"542","HIPP_MERGE_BL","share mov dcon no sub","sub17",0.10248
"543","HIPP_MERGE_BL","no share mov scon no sub","sub17",0.092488
"544","HIPP_MERGE_BL","no share mov dcon no sub","sub17",0.0928
"545","V12_BL","sseq scon no sub","sub17",0.61418
"546","V12_BL","sseq dcon no sub","sub17",0.60408
"547","V12_BL","dseq scon no sub","sub17",0.57299
"548","V12_BL","dseq dcon no sub","sub17",0.57063
"549","V12_BL","dstart send same context no sub","sub17",0.58226
"550","V12_BL","dstart send diff context no sub","sub17",0.57737
"551","V12_BL","sstart dend same context no sub","sub17",0.58796
"552","V12_BL","sstart dend diff context no sub","sub17",0.5911
"553","V12_BL","dstart dend same context no sub","sub17",0.56597
"554","V12_BL","dstart dend diff context no sub","sub17",0.56292
"555","V12_BL","same mov scon no sub","sub17",0.61418
"556","V12_BL","same mov dcon no sub","sub17",0.56216
"557","V12_BL","share mov scon no sub","sub17",0.53736
"558","V12_BL","share mov dcon no sub","sub17",0.5767
"559","V12_BL","no share mov scon no sub","sub17",0.57514
"560","V12_BL","no share mov dcon no sub","sub17",0.57416
"561","BA4ap","sseq scon no sub","sub17",0.40955
"562","BA4ap","sseq dcon no sub","sub17",0.41396
"563","BA4ap","dseq scon no sub","sub17",0.38103
"564","BA4ap","dseq dcon no sub","sub17",0.39621
"565","BA4ap","dstart send same context no sub","sub17",0.373
"566","BA4ap","dstart send diff context no sub","sub17",0.39491
"567","BA4ap","sstart dend same context no sub","sub17",0.41581
"568","BA4ap","sstart dend diff context no sub","sub17",0.38747
"569","BA4ap","dstart dend same context no sub","sub17",0.37346
"570","BA4ap","dstart dend diff context no sub","sub17",0.39909
"571","BA4ap","same mov scon no sub","sub17",0.40955
"572","BA4ap","same mov dcon no sub","sub17",0.42586
"573","BA4ap","share mov scon no sub","sub17",0.37469
"574","BA4ap","share mov dcon no sub","sub17",0.40673
"575","BA4ap","no share mov scon no sub","sub17",0.38141
"576","BA4ap","no share mov dcon no sub","sub17",0.3944
"577","HIPP_MERGE_BL","sseq scon no sub","sub19",0.012578
"578","HIPP_MERGE_BL","sseq dcon no sub","sub19",0.015024
"579","HIPP_MERGE_BL","dseq scon no sub","sub19",0.026971
"580","HIPP_MERGE_BL","dseq dcon no sub","sub19",0.03235
"581","HIPP_MERGE_BL","dstart send same context no sub","sub19",0.023891
"582","HIPP_MERGE_BL","dstart send diff context no sub","sub19",0.038243
"583","HIPP_MERGE_BL","sstart dend same context no sub","sub19",0.025686
"584","HIPP_MERGE_BL","sstart dend diff context no sub","sub19",0.037961
"585","HIPP_MERGE_BL","dstart dend same context no sub","sub19",0.028183
"586","HIPP_MERGE_BL","dstart dend diff context no sub","sub19",0.028941
"587","HIPP_MERGE_BL","same mov scon no sub","sub19",0.012578
"588","HIPP_MERGE_BL","same mov dcon no sub","sub19",0.048761
"589","HIPP_MERGE_BL","share mov scon no sub","sub19",0.018573
"590","HIPP_MERGE_BL","share mov dcon no sub","sub19",0.018821
"591","HIPP_MERGE_BL","no share mov scon no sub","sub19",0.027537
"592","HIPP_MERGE_BL","no share mov dcon no sub","sub19",0.029986
"593","V12_BL","sseq scon no sub","sub19",0.37884
"594","V12_BL","sseq dcon no sub","sub19",0.3304
"595","V12_BL","dseq scon no sub","sub19",0.34225
"596","V12_BL","dseq dcon no sub","sub19",0.35022
"597","V12_BL","dstart send same context no sub","sub19",0.33251
"598","V12_BL","dstart send diff context no sub","sub19",0.36857
"599","V12_BL","sstart dend same context no sub","sub19",0.35197
"600","V12_BL","sstart dend diff context no sub","sub19",0.33201
"601","V12_BL","dstart dend same context no sub","sub19",0.34236
"602","V12_BL","dstart dend diff context no sub","sub19",0.35049
"603","V12_BL","same mov scon no sub","sub19",0.37884
"604","V12_BL","same mov dcon no sub","sub19",0.38794
"605","V12_BL","share mov scon no sub","sub19",0.31305
"606","V12_BL","share mov dcon no sub","sub19",0.29057
"607","V12_BL","no share mov scon no sub","sub19",0.34424
"608","V12_BL","no share mov dcon no sub","sub19",0.34879
"609","BA4ap","sseq scon no sub","sub19",0.064123
"610","BA4ap","sseq dcon no sub","sub19",0.054368
"611","BA4ap","dseq scon no sub","sub19",0.052323
"612","BA4ap","dseq dcon no sub","sub19",0.065476
"613","BA4ap","dstart send same context no sub","sub19",0.064128
"614","BA4ap","dstart send diff context no sub","sub19",0.090953
"615","BA4ap","sstart dend same context no sub","sub19",0.033507
"616","BA4ap","sstart dend diff context no sub","sub19",0.047128
"617","BA4ap","dstart dend same context no sub","sub19",0.05413
"618","BA4ap","dstart dend diff context no sub","sub19",0.06368
"619","BA4ap","same mov scon no sub","sub19",0.064123
"620","BA4ap","same mov dcon no sub","sub19",0.075722
"621","BA4ap","share mov scon no sub","sub19",0.051258
"622","BA4ap","share mov dcon no sub","sub19",0.015231
"623","BA4ap","no share mov scon no sub","sub19",0.052395
"624","BA4ap","no share mov dcon no sub","sub19",0.066755
"625","HIPP_MERGE_BL","sseq scon no sub","sub20",0.035186
"626","HIPP_MERGE_BL","sseq dcon no sub","sub20",0.030129
"627","HIPP_MERGE_BL","dseq scon no sub","sub20",0.049664
"628","HIPP_MERGE_BL","dseq dcon no sub","sub20",0.024078
"629","HIPP_MERGE_BL","dstart send same context no sub","sub20",0.042395
"630","HIPP_MERGE_BL","dstart send diff context no sub","sub20",0.019158
"631","HIPP_MERGE_BL","sstart dend same context no sub","sub20",0.058513
"632","HIPP_MERGE_BL","sstart dend diff context no sub","sub20",0.016626
"633","HIPP_MERGE_BL","dstart dend same context no sub","sub20",0.049197
"634","HIPP_MERGE_BL","dstart dend diff context no sub","sub20",0.027603
"635","HIPP_MERGE_BL","same mov scon no sub","sub20",0.035186
"636","HIPP_MERGE_BL","same mov dcon no sub","sub20",0.017675
"637","HIPP_MERGE_BL","share mov scon no sub","sub20",0.090184
"638","HIPP_MERGE_BL","share mov dcon no sub","sub20",0.01397
"639","HIPP_MERGE_BL","no share mov scon no sub","sub20",0.04706
"640","HIPP_MERGE_BL","no share mov dcon no sub","sub20",0.025913
"641","V12_BL","sseq scon no sub","sub20",0.62789
"642","V12_BL","sseq dcon no sub","sub20",0.60227
"643","V12_BL","dseq scon no sub","sub20",0.60738
"644","V12_BL","dseq dcon no sub","sub20",0.60194
"645","V12_BL","dstart send same context no sub","sub20",0.60784
"646","V12_BL","dstart send diff context no sub","sub20",0.61538
"647","V12_BL","sstart dend same context no sub","sub20",0.61329
"648","V12_BL","sstart dend diff context no sub","sub20",0.60349
"649","V12_BL","dstart dend same context no sub","sub20",0.60554
"650","V12_BL","dstart dend diff context no sub","sub20",0.59775
"651","V12_BL","same mov scon no sub","sub20",0.62789
"652","V12_BL","same mov dcon no sub","sub20",0.58591
"653","V12_BL","share mov scon no sub","sub20",0.64251
"654","V12_BL","share mov dcon no sub","sub20",0.60706
"655","V12_BL","no share mov scon no sub","sub20",0.60516
"656","V12_BL","no share mov dcon no sub","sub20",0.60319
"657","BA4ap","sseq scon no sub","sub20",0.16484
"658","BA4ap","sseq dcon no sub","sub20",0.11879
"659","BA4ap","dseq scon no sub","sub20",0.14443
"660","BA4ap","dseq dcon no sub","sub20",0.15129
"661","BA4ap","dstart send same context no sub","sub20",0.14645
"662","BA4ap","dstart send diff context no sub","sub20",0.15051
"663","BA4ap","sstart dend same context no sub","sub20",0.17709
"664","BA4ap","sstart dend diff context no sub","sub20",0.12355
"665","BA4ap","dstart dend same context no sub","sub20",0.13447
"666","BA4ap","dstart dend diff context no sub","sub20",0.15951
"667","BA4ap","same mov scon no sub","sub20",0.16484
"668","BA4ap","same mov dcon no sub","sub20",0.19301
"669","BA4ap","share mov scon no sub","sub20",0.11684
"670","BA4ap","share mov dcon no sub","sub20",0.077745
"671","BA4ap","no share mov scon no sub","sub20",0.14621
"672","BA4ap","no share mov dcon no sub","sub20",0.14889
"673","HIPP_MERGE_BL","sseq scon no sub","sub21",0.04358
"674","HIPP_MERGE_BL","sseq dcon no sub","sub21",0.033521
"675","HIPP_MERGE_BL","dseq scon no sub","sub21",0.02697
"676","HIPP_MERGE_BL","dseq dcon no sub","sub21",0.030249
"677","HIPP_MERGE_BL","dstart send same context no sub","sub21",0.01869
"678","HIPP_MERGE_BL","dstart send diff context no sub","sub21",0.026898
"679","HIPP_MERGE_BL","sstart dend same context no sub","sub21",0.039576
"680","HIPP_MERGE_BL","sstart dend diff context no sub","sub21",0.020521
"681","HIPP_MERGE_BL","dstart dend same context no sub","sub21",0.025641
"682","HIPP_MERGE_BL","dstart dend diff context no sub","sub21",0.033965
"683","HIPP_MERGE_BL","same mov scon no sub","sub21",0.04358
"684","HIPP_MERGE_BL","same mov dcon no sub","sub21",0.02592
"685","HIPP_MERGE_BL","share mov scon no sub","sub21",0.022788
"686","HIPP_MERGE_BL","share mov dcon no sub","sub21",0.052877
"687","HIPP_MERGE_BL","no share mov scon no sub","sub21",0.027242
"688","HIPP_MERGE_BL","no share mov dcon no sub","sub21",0.029497
"689","V12_BL","sseq scon no sub","sub21",0.27645
"690","V12_BL","sseq dcon no sub","sub21",0.22819
"691","V12_BL","dseq scon no sub","sub21",0.21728
"692","V12_BL","dseq dcon no sub","sub21",0.21621
"693","V12_BL","dstart send same context no sub","sub21",0.21099
"694","V12_BL","dstart send diff context no sub","sub21",0.2228
"695","V12_BL","sstart dend same context no sub","sub21",0.20398
"696","V12_BL","sstart dend diff context no sub","sub21",0.21104
"697","V12_BL","dstart dend same context no sub","sub21",0.22286
"698","V12_BL","dstart dend diff context no sub","sub21",0.21576
"699","V12_BL","same mov scon no sub","sub21",0.27645
"700","V12_BL","same mov dcon no sub","sub21",0.20808
"701","V12_BL","share mov scon no sub","sub21",0.21447
"702","V12_BL","share mov dcon no sub","sub21",0.26908
"703","V12_BL","no share mov scon no sub","sub21",0.21746
"704","V12_BL","no share mov dcon no sub","sub21",0.21473
"705","BA4ap","sseq scon no sub","sub21",0.22919
"706","BA4ap","sseq dcon no sub","sub21",0.096691
"707","BA4ap","dseq scon no sub","sub21",0.14379
"708","BA4ap","dseq dcon no sub","sub21",0.15306
"709","BA4ap","dstart send same context no sub","sub21",0.12732
"710","BA4ap","dstart send diff context no sub","sub21",0.15789
"711","BA4ap","sstart dend same context no sub","sub21",0.17966
"712","BA4ap","sstart dend diff context no sub","sub21",0.10397
"713","BA4ap","dstart dend same context no sub","sub21",0.13811
"714","BA4ap","dstart dend diff context no sub","sub21",0.1656
"715","BA4ap","same mov scon no sub","sub21",0.22919
"716","BA4ap","same mov dcon no sub","sub21",0.19493
"717","BA4ap","share mov scon no sub","sub21",0.17303
"718","BA4ap","share mov dcon no sub","sub21",0.16228
"719","BA4ap","no share mov scon no sub","sub21",0.14189
"720","BA4ap","no share mov dcon no sub","sub21",0.14286
"721","HIPP_MERGE_BL","sseq scon no sub","sub22",-0.0015788
"722","HIPP_MERGE_BL","sseq dcon no sub","sub22",0.0049656
"723","HIPP_MERGE_BL","dseq scon no sub","sub22",0.0059725
"724","HIPP_MERGE_BL","dseq dcon no sub","sub22",0.014434
"725","HIPP_MERGE_BL","dstart send same context no sub","sub22",-0.00079641
"726","HIPP_MERGE_BL","dstart send diff context no sub","sub22",0.019374
"727","HIPP_MERGE_BL","sstart dend same context no sub","sub22",0.012561
"728","HIPP_MERGE_BL","sstart dend diff context no sub","sub22",0.0096607
"729","HIPP_MERGE_BL","dstart dend same context no sub","sub22",0.0060319
"730","HIPP_MERGE_BL","dstart dend diff context no sub","sub22",0.014353
"731","HIPP_MERGE_BL","same mov scon no sub","sub22",-0.0015788
"732","HIPP_MERGE_BL","same mov dcon no sub","sub22",0.012483
"733","HIPP_MERGE_BL","share mov scon no sub","sub22",-0.0063533
"734","HIPP_MERGE_BL","share mov dcon no sub","sub22",0.011956
"735","HIPP_MERGE_BL","no share mov scon no sub","sub22",0.0067429
"736","HIPP_MERGE_BL","no share mov dcon no sub","sub22",0.013852
"737","V12_BL","sseq scon no sub","sub22",0.21246
"738","V12_BL","sseq dcon no sub","sub22",0.19083
"739","V12_BL","dseq scon no sub","sub22",0.16538
"740","V12_BL","dseq dcon no sub","sub22",0.1656
"741","V12_BL","dstart send same context no sub","sub22",0.16511
"742","V12_BL","dstart send diff context no sub","sub22",0.15424
"743","V12_BL","sstart dend same context no sub","sub22",0.14328
"744","V12_BL","sstart dend diff context no sub","sub22",0.17206
"745","V12_BL","dstart dend same context no sub","sub22",0.172
"746","V12_BL","dstart dend diff context no sub","sub22",0.16703
"747","V12_BL","same mov scon no sub","sub22",0.21246
"748","V12_BL","same mov dcon no sub","sub22",0.17644
"749","V12_BL","share mov scon no sub","sub22",0.18223
"750","V12_BL","share mov dcon no sub","sub22",0.15069
"751","V12_BL","no share mov scon no sub","sub22",0.16433
"752","V12_BL","no share mov dcon no sub","sub22",0.16794
"753","BA4ap","sseq scon no sub","sub22",0.11722
"754","BA4ap","sseq dcon no sub","sub22",0.026426
"755","BA4ap","dseq scon no sub","sub22",0.033001
"756","BA4ap","dseq dcon no sub","sub22",0.045213
"757","BA4ap","dstart send same context no sub","sub22",0.0010112
"758","BA4ap","dstart send diff context no sub","sub22",0.061357
"759","BA4ap","sstart dend same context no sub","sub22",0.027648
"760","BA4ap","sstart dend diff context no sub","sub22",0.0094601
"761","BA4ap","dstart dend same context no sub","sub22",0.044057
"762","BA4ap","dstart dend diff context no sub","sub22",0.050473
"763","BA4ap","same mov scon no sub","sub22",0.11722
"764","BA4ap","same mov dcon no sub","sub22",0.021148
"765","BA4ap","share mov scon no sub","sub22",0.053389
"766","BA4ap","share mov dcon no sub","sub22",0.05254
"767","BA4ap","no share mov scon no sub","sub22",0.031727
"768","BA4ap","no share mov dcon no sub","sub22",0.045313
"769","HIPP_MERGE_BL","sseq scon no sub","sub23",0.051411
"770","HIPP_MERGE_BL","sseq dcon no sub","sub23",0.064928
"771","HIPP_MERGE_BL","dseq scon no sub","sub23",0.046381
"772","HIPP_MERGE_BL","dseq dcon no sub","sub23",0.042646
"773","HIPP_MERGE_BL","dstart send same context no sub","sub23",0.041183
"774","HIPP_MERGE_BL","dstart send diff context no sub","sub23",0.032704
"775","HIPP_MERGE_BL","sstart dend same context no sub","sub23",0.043287
"776","HIPP_MERGE_BL","sstart dend diff context no sub","sub23",0.059094
"777","HIPP_MERGE_BL","dstart dend same context no sub","sub23",0.048724
"778","HIPP_MERGE_BL","dstart dend diff context no sub","sub23",0.040908
"779","HIPP_MERGE_BL","same mov scon no sub","sub23",0.051411
"780","HIPP_MERGE_BL","same mov dcon no sub","sub23",0.047476
"781","HIPP_MERGE_BL","share mov scon no sub","sub23",0.04063
"782","HIPP_MERGE_BL","share mov dcon no sub","sub23",0.063574
"783","HIPP_MERGE_BL","no share mov scon no sub","sub23",0.046759
"784","HIPP_MERGE_BL","no share mov dcon no sub","sub23",0.042972
"785","V12_BL","sseq scon no sub","sub23",0.38601
"786","V12_BL","sseq dcon no sub","sub23",0.44906
"787","V12_BL","dseq scon no sub","sub23",0.39251
"788","V12_BL","dseq dcon no sub","sub23",0.39016
"789","V12_BL","dstart send same context no sub","sub23",0.38589
"790","V12_BL","dstart send diff context no sub","sub23",0.40682
"791","V12_BL","sstart dend same context no sub","sub23",0.39776
"792","V12_BL","sstart dend diff context no sub","sub23",0.38972
"793","V12_BL","dstart dend same context no sub","sub23",0.39293
"794","V12_BL","dstart dend diff context no sub","sub23",0.38545
"795","V12_BL","same mov scon no sub","sub23",0.38601
"796","V12_BL","same mov dcon no sub","sub23",0.39506
"797","V12_BL","share mov scon no sub","sub23",0.41719
"798","V12_BL","share mov dcon no sub","sub23",0.41799
"799","V12_BL","no share mov scon no sub","sub23",0.3909
"800","V12_BL","no share mov dcon no sub","sub23",0.39347
"801","BA4ap","sseq scon no sub","sub23",0.33784
"802","BA4ap","sseq dcon no sub","sub23",0.32091
"803","BA4ap","dseq scon no sub","sub23",0.29689
"804","BA4ap","dseq dcon no sub","sub23",0.29011
"805","BA4ap","dstart send same context no sub","sub23",0.27976
"806","BA4ap","dstart send diff context no sub","sub23",0.272
"807","BA4ap","sstart dend same context no sub","sub23",0.29147
"808","BA4ap","sstart dend diff context no sub","sub23",0.29251
"809","BA4ap","dstart dend same context no sub","sub23",0.30332
"810","BA4ap","dstart dend diff context no sub","sub23",0.29476
"811","BA4ap","same mov scon no sub","sub23",0.33784
"812","BA4ap","same mov dcon no sub","sub23",0.3096
"813","BA4ap","share mov scon no sub","sub23",0.35379
"814","BA4ap","share mov dcon no sub","sub23",0.42316
"815","BA4ap","no share mov scon no sub","sub23",0.29322
"816","BA4ap","no share mov dcon no sub","sub23",0.2829
"817","HIPP_MERGE_BL","sseq scon no sub","sub24",0.074561
"818","HIPP_MERGE_BL","sseq dcon no sub","sub24",0.035739
"819","HIPP_MERGE_BL","dseq scon no sub","sub24",0.062729
"820","HIPP_MERGE_BL","dseq dcon no sub","sub24",0.053732
"821","HIPP_MERGE_BL","dstart send same context no sub","sub24",0.071238
"822","HIPP_MERGE_BL","dstart send diff context no sub","sub24",0.044047
"823","HIPP_MERGE_BL","sstart dend same context no sub","sub24",0.061187
"824","HIPP_MERGE_BL","sstart dend diff context no sub","sub24",0.051627
"825","HIPP_MERGE_BL","dstart dend same context no sub","sub24",0.06071
"826","HIPP_MERGE_BL","dstart dend diff context no sub","sub24",0.057156
"827","HIPP_MERGE_BL","same mov scon no sub","sub24",0.074561
"828","HIPP_MERGE_BL","same mov dcon no sub","sub24",0.048988
"829","HIPP_MERGE_BL","share mov scon no sub","sub24",0.081328
"830","HIPP_MERGE_BL","share mov dcon no sub","sub24",0.06711
"831","HIPP_MERGE_BL","no share mov scon no sub","sub24",0.061592
"832","HIPP_MERGE_BL","no share mov dcon no sub","sub24",0.05163
"833","V12_BL","sseq scon no sub","sub24",0.43952
"834","V12_BL","sseq dcon no sub","sub24",0.45951
"835","V12_BL","dseq scon no sub","sub24",0.4287
"836","V12_BL","dseq dcon no sub","sub24",0.43171
"837","V12_BL","dstart send same context no sub","sub24",0.44303
"838","V12_BL","dstart send diff context no sub","sub24",0.44347
"839","V12_BL","sstart dend same context no sub","sub24",0.42654
"840","V12_BL","sstart dend diff context no sub","sub24",0.43475
"841","V12_BL","dstart dend same context no sub","sub24",0.4252
"842","V12_BL","dstart dend diff context no sub","sub24",0.42744
"843","V12_BL","same mov scon no sub","sub24",0.43952
"844","V12_BL","same mov dcon no sub","sub24",0.4295
"845","V12_BL","share mov scon no sub","sub24",0.41017
"846","V12_BL","share mov dcon no sub","sub24",0.43413
"847","V12_BL","no share mov scon no sub","sub24",0.42984
"848","V12_BL","no share mov dcon no sub","sub24",0.43445
"849","BA4ap","sseq scon no sub","sub24",0.25924
"850","BA4ap","sseq dcon no sub","sub24",0.21099
"851","BA4ap","dseq scon no sub","sub24",0.22313
"852","BA4ap","dseq dcon no sub","sub24",0.24281
"853","BA4ap","dstart send same context no sub","sub24",0.22297
"854","BA4ap","dstart send diff context no sub","sub24",0.25638
"855","BA4ap","sstart dend same context no sub","sub24",0.21252
"856","BA4ap","sstart dend diff context no sub","sub24",0.23011
"857","BA4ap","dstart dend same context no sub","sub24",0.22623
"858","BA4ap","dstart dend diff context no sub","sub24",0.24247
"859","BA4ap","same mov scon no sub","sub24",0.25924
"860","BA4ap","same mov dcon no sub","sub24",0.30973
"861","BA4ap","share mov scon no sub","sub24",0.34773
"862","BA4ap","share mov dcon no sub","sub24",0.34006
"863","BA4ap","no share mov scon no sub","sub24",0.21576
"864","BA4ap","no share mov dcon no sub","sub24",0.2276
"865","HIPP_MERGE_BL","sseq scon no sub","sub25",0.040493
"866","HIPP_MERGE_BL","sseq dcon no sub","sub25",0.019082
"867","HIPP_MERGE_BL","dseq scon no sub","sub25",0.0094437
"868","HIPP_MERGE_BL","dseq dcon no sub","sub25",0.023938
"869","HIPP_MERGE_BL","dstart send same context no sub","sub25",0.043695
"870","HIPP_MERGE_BL","dstart send diff context no sub","sub25",0.019391
"871","HIPP_MERGE_BL","sstart dend same context no sub","sub25",-0.019524
"872","HIPP_MERGE_BL","sstart dend diff context no sub","sub25",0.036047
"873","HIPP_MERGE_BL","dstart dend same context no sub","sub25",0.0082547
"874","HIPP_MERGE_BL","dstart dend diff context no sub","sub25",0.021652
"875","HIPP_MERGE_BL","same mov scon no sub","sub25",0.040493
"876","HIPP_MERGE_BL","same mov dcon no sub","sub25",-0.017143
"877","HIPP_MERGE_BL","share mov scon no sub","sub25",-0.011783
"878","HIPP_MERGE_BL","share mov dcon no sub","sub25",0.072106
"879","HIPP_MERGE_BL","no share mov scon no sub","sub25",0.010795
"880","HIPP_MERGE_BL","no share mov dcon no sub","sub25",0.024078
"881","V12_BL","sseq scon no sub","sub25",0.26998
"882","V12_BL","sseq dcon no sub","sub25",0.29812
"883","V12_BL","dseq scon no sub","sub25",0.26224
"884","V12_BL","dseq dcon no sub","sub25",0.2564
"885","V12_BL","dstart send same context no sub","sub25",0.27684
"886","V12_BL","dstart send diff context no sub","sub25",0.24574
"887","V12_BL","sstart dend same context no sub","sub25",0.26897
"888","V12_BL","sstart dend diff context no sub","sub25",0.26366
"889","V12_BL","dstart dend same context no sub","sub25",0.25613
"890","V12_BL","dstart dend diff context no sub","sub25",0.25736
"891","V12_BL","same mov scon no sub","sub25",0.26998
"892","V12_BL","same mov dcon no sub","sub25",0.25599
"893","V12_BL","share mov scon no sub","sub25",0.2962
"894","V12_BL","share mov dcon no sub","sub25",0.30456
"895","V12_BL","no share mov scon no sub","sub25",0.2601
"896","V12_BL","no share mov dcon no sub","sub25",0.25707
"897","BA4ap","sseq scon no sub","sub25",0.12694
"898","BA4ap","sseq dcon no sub","sub25",0.10762
"899","BA4ap","dseq scon no sub","sub25",0.091553
"900","BA4ap","dseq dcon no sub","sub25",0.10235
"901","BA4ap","dstart send same context no sub","sub25",0.091572
"902","BA4ap","dstart send diff context no sub","sub25",0.07524
"903","BA4ap","sstart dend same context no sub","sub25",0.12132
"904","BA4ap","sstart dend diff context no sub","sub25",0.065376
"905","BA4ap","dstart dend same context no sub","sub25",0.082796
"906","BA4ap","dstart dend diff context no sub","sub25",0.12137
"907","BA4ap","same mov scon no sub","sub25",0.12694
"908","BA4ap","same mov dcon no sub","sub25",0.11706
"909","BA4ap","share mov scon no sub","sub25",0.14442
