First_RDM_name,Second_RDM_name,sub01,sub02,sub05,sub06,sub08,sub10,sub11,sub13,sub14,sub15,sub16,sub17,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub30
V12_BL,sstart dend same context no sub,0.54283,0.31573,0.36628,0.23329,0.47081,0.37583,0.60395,0.31892,0.1358,0.37963,0.29031,0.58796,0.35197,0.61329,0.20398,0.14328,0.39776,0.42654,0.26897,0.43085,0.47514,0.49024,0.44681
V12_BL,sstart dend diff context no sub,0.53131,0.32271,0.37187,0.25437,0.47298,0.39621,0.6057,0.37207,0.15353,0.37436,0.26314,0.5911,0.33201,0.60349,0.21104,0.17206,0.38972,0.43475,0.26366,0.43485,0.46167,0.51809,0.42267
V12_BL,dstart dend same context no sub,0.51393,0.30318,0.36449,0.2355,0.46483,0.34306,0.5984,0.3362,0.14473,0.35169,0.28306,0.56597,0.34236,0.60554,0.22286,0.172,0.39293,0.4252,0.25613,0.39658,0.46959,0.46501,0.42928
V12_BL,dstart dend diff context no sub,0.52606,0.31365,0.35457,0.24121,0.4681,0.34385,0.60229,0.34073,0.13903,0.3485,0.27234,0.56292,0.35049,0.59775,0.21576,0.16703,0.38545,0.42744,0.25736,0.39399,0.45328,0.47337,0.44337
V12_BL,same mov scon no sub,0.56701,0.34167,0.41605,0.28881,0.50024,0.39488,0.65128,0.36585,0.13838,0.38982,0.32928,0.61418,0.37884,0.62789,0.27645,0.21246,0.38601,0.43952,0.26998,0.48249,0.496,0.50506,0.42516
V12_BL,same mov dcon no sub,0.52351,0.31463,0.35042,0.26141,0.45462,0.34875,0.62271,0.3311,0.11231,0.41297,0.27739,0.56216,0.38794,0.58591,0.20808,0.17644,0.39506,0.4295,0.25599,0.43883,0.43346,0.49581,0.44609
V12_BL,share mov scon no sub,0.47585,0.27605,0.36364,0.15625,0.44149,0.32522,0.57718,0.34408,0.19774,0.31878,0.26841,0.53736,0.31305,0.64251,0.21447,0.18223,0.41719,0.41017,0.2962,0.42491,0.45368,0.39841,0.39257
V12_BL,share mov dcon no sub,0.51811,0.36739,0.33353,0.26462,0.46682,0.38954,0.62097,0.33557,0.13469,0.30683,0.32454,0.5767,0.29057,0.60706,0.26908,0.15069,0.41799,0.43413,0.30456,0.42443,0.47536,0.43528,0.43384
V12_BL,no share mov scon no sub,0.52188,0.30913,0.35907,0.24556,0.47221,0.35171,0.60225,0.33237,0.13622,0.35749,0.29339,0.57514,0.34424,0.60516,0.21746,0.16433,0.3909,0.42984,0.2601,0.41259,0.47711,0.47673,0.4351
V12_BL,no share mov dcon no sub,0.53088,0.31652,0.36832,0.25237,0.47169,0.35472,0.60074,0.34942,0.14262,0.3514,0.27729,0.57416,0.34879,0.60319,0.21473,0.16794,0.39347,0.43445,0.25707,0.41334,0.46058,0.48884,0.44186
BA4ap,sseq scon no sub,0.17965,0.18736,0.17005,0.094274,0.12763,0.26527,0.35844,0.071147,0.028769,0.12706,0.090096,0.40955,0.064123,0.16484,0.22919,0.11722,0.33784,0.25924,0.12694,0.42792,0.24553,0.057498,0.025804
BA4ap,sseq dcon no sub,0.12847,0.19383,0.067877,0.070724,0.085384,0.18299,0.31913,0.018618,0.014543,0.062127,0.048183,0.41396,0.054368,0.11879,0.096691,0.026426,0.32091,0.21099,0.10762,0.40882,0.14825,0.0071002,0.078612
BA4ap,dseq scon no sub,0.13524,0.17548,0.11954,0.076829,0.1152,0.21477,0.35316,0.050949,0.024611,0.095478,0.079838,0.38103,0.052323,0.14443,0.14379,0.033001,0.29689,0.22313,0.091553,0.39122,0.21397,0.04743,0.057586
BA4ap,dseq dcon no sub,0.14725,0.20369,0.12613,0.091055,0.11045,0.21798,0.32249,0.050704,0.041805,0.081221,0.070463,0.39621,0.065476,0.15129,0.15306,0.045213,0.29011,0.24281,0.10235,0.3814,0.19058,0.078367,0.063847
